Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
2024-02-23,11:02:45,"""CNR6178330""",Completed,"""CID7719678""",Go Mini,"Tis Hazari, New Delhi, India","IMT Manesar, New Delhi, India",10.4,25.1,,,,,,,713.0,38.03,3.7,3.6,UPI,,,,
2024-03-09,20:14:24,"""CNR5309981""",Completed,"""CID3870048""",Go Mini,"Noida Sector 18, New Delhi, India","Old Gurgaon, New Delhi, India",7.9,41.1,,,,,,,113.0,14.53,4.6,4.9,UPI,,,28.5337309,77.089943
2024-08-28,16:30:14,"""CNR2978950""",Completed,"""CID2977484""",Auto,"Kanhaiya Nagar, New Delhi, India","Anand Vihar, New Delhi, India",13.6,25.2,,,,,,,767.0,7.39,3.8,4.6,Debit Card,,,28.5786334,77.1612059
2024-08-08,06:34:38,"""CNR2806943""",Completed,"""CID7550481""",Uber XL,"Okhla, New Delhi, India","Barakhamba Road, New Delhi, India",5.1,20.7,,,,,,,495.0,10.23,3.8,4.2,Credit Card,,,28.6274707,77.2290488
2024-11-03,12:24:59,"""CNR8779845""",Completed,"""CID7444351""",Auto,"Faridabad Sector 15, New Delhi, India","Malviya Nagar, New Delhi, India",8.9,31.1,,,,,,,2847.0,39.21,3.1,4.6,Debit Card,,,,
2024-11-15,05:53:55,"""CNR3871541""",Completed,"""CID9849259""",Go Mini,"Mundka, New Delhi, India","Preet Vihar, New Delhi, India",8.9,41.0,,,,,,,282.0,8.36,3.8,4.4,UPI,,,,
2024-02-04,18:08:04,"""CNR2877692""",Completed,"""CID5901711""",Premier Sedan,"DLF City Court, New Delhi, India","Nehru Place, New Delhi, India",11.5,20.5,,,,,,,656.0,6.39,5.0,4.9,Uber Wallet,,,28.5480268,77.2534172
2024-05-29,14:05:10,"""CNR9603633""",Completed,"""CID5856503""",Auto,"Tis Hazari, New Delhi, India","Shahdara, New Delhi, India",2.0,19.4,,,,,,,134.0,46.66,3.8,4.4,Credit Card,,,28.6816931,77.3281381
2024-06-07,19:21:10,"""CNR7823292""",Completed,"""CID9377721""",Go Sedan,"Nirman Vihar, New Delhi, India","Malviya Nagar, New Delhi, India",14.6,25.4,,,,,,,470.0,27.07,3.7,4.2,Cash,,,,
2024-05-16,13:04:31,"""CNR9918895""",Completed,"""CID9520433""",Auto,"New Delhi Railway Station, New Delhi, India","Noida Film City, New Delhi, India",6.7,20.5,,,,,,,187.0,12.16,4.9,4.3,UPI,,,,
2024-10-02,03:10:35,"""CNR7401001""",Completed,"""CID9958715""",Premier Sedan,"Civil Lines Gurgaon, New Delhi, India","Mandi House, New Delhi, India",6.6,30.0,,,,,,,186.0,10.28,4.4,4.6,UPI,,,28.6255149,77.2341926
2024-02-26,15:43:16,"""CNR2631310""",Completed,"""CID4355670""",eBike,"Seelampur, New Delhi, India","Janakpuri, New Delhi, India",10.0,35.8,,,,,,,70.0,44.42,4.1,4.4,UPI,,,28.6116644,77.1051654
2024-01-24,10:47:57,"""CNR5969954""",Completed,"""CID5558118""",Auto,"Vinobapuri, New Delhi, India","Karkarduma, New Delhi, India",12.8,18.7,,,,,,,273.0,34.64,4.5,4.6,Uber Wallet,,,,
2024-04-01,21:14:19,"""CNR9572979""",Completed,"""CID3474992""",Go Sedan,"Sultanpur, New Delhi, India","Noida Extension, New Delhi, India",12.2,42.3,,,,,,,251.0,20.91,4.2,3.6,Debit Card,,,,
2024-06-16,00:44:47,"""CNR6866217""",Completed,"""CID7798304""",Go Sedan,"Dilshad Garden, New Delhi, India","Nehru Place, New Delhi, India",7.8,42.2,,,,,,,246.0,8.13,4.2,4.5,UPI,,,28.5480268,77.2534172
2024-09-18,09:33:55,"""CNR4932611""",Completed,"""CID8795963""",Auto,"Aya Nagar, New Delhi, India","Karkarduma, New Delhi, India",8.8,25.2,,,,,,,237.0,2.96,3.9,3.3,UPI,,,,
2024-06-03,18:14:47,"""CNR6945858""",Completed,"""CID9079088""",Go Mini,"MG Road, New Delhi, India","Hauz Rani, New Delhi, India",4.1,25.1,,,,,,,379.0,33.04,4.2,4.5,Uber Wallet,,,,
2024-10-03,22:20:34,"""CNR6584679""",Completed,"""CID4738537""",Go Mini,"Jasola, New Delhi, India","Palam Vihar, New Delhi, India",11.2,40.7,,,,,,,545.0,44.7,4.3,4.3,Cash,,,28.570786,77.1634244
2024-05-25,11:24:29,"""CNR6125653""",Completed,"""CID2808212""",Go Mini,"Kashmere Gate, New Delhi, India","RK Puram, New Delhi, India",3.0,35.4,,,,,,,479.0,7.38,4.2,4.6,UPI,,,28.5656918,77.174646
2024-11-10,05:13:57,"""CNR6339107""",Completed,"""CID7358763""",Go Mini,"Punjabi Bagh, New Delhi, India","Madipur, New Delhi, India",9.1,23.2,,,,,,,647.0,24.93,4.3,4.7,Uber Wallet,,,,
2024-06-01,10:03:27,"""CNR2107544""",Completed,"""CID1266188""",Premier Sedan,"Mayur Vihar, New Delhi, India","Palam Vihar, New Delhi, India",11.4,42.1,,,,,,,125.0,25.16,4.3,5.0,Credit Card,,,28.570786,77.1634244
2024-07-30,12:02:26,"""CNR5316307""",Completed,"""CID1816553""",Premier Sedan,"Tughlakabad, New Delhi, India","Akshardham, New Delhi, India",12.4,21.5,,,,,,,375.0,48.85,3.3,3.3,Cash,,,28.5838692,77.0437467
2024-02-25,16:23:19,"""CNR3635865""",Completed,"""CID6477355""",Auto,"Cyber Hub, New Delhi, India","Yamuna Bank, New Delhi, India",11.7,33.0,,,,,,,310.0,24.41,4.6,3.8,Debit Card,,,,
2024-01-25,12:39:21,"""CNR9252424""",Completed,"""CID9413620""",eBike,"Vidhan Sabha, New Delhi, India","Mehrauli, New Delhi, India",12.1,18.1,,,,,,,291.0,3.71,3.2,4.3,UPI,,,28.4915171,77.1433001
2024-04-11,11:14:35,"""CNR3096031""",Completed,"""CID3101926""",Auto,"Anand Vihar, New Delhi, India","Saket, New Delhi, India",5.8,24.3,,,,,,,114.0,32.98,4.3,4.5,Uber Wallet,,,,
2024-06-17,20:25:47,"""CNR4141159""",Completed,"""CID6810411""",Go Mini,"Uttam Nagar, New Delhi, India","New Delhi Railway Station, New Delhi, India",4.0,44.5,,,,,,,464.0,11.2,4.5,4.2,Cash,28.6088003,77.0673956,,
2024-07-29,19:52:48,"""CNR6757829""",Completed,"""CID8433663""",Go Sedan,"Model Town, New Delhi, India","Mundka, New Delhi, India",3.4,27.1,,,,,,,160.0,45.4,4.0,5.0,Cash,,,,
2024-12-21,21:40:00,"""CNR3347993""",Completed,"""CID4871438""",eBike,"Ghitorni, New Delhi, India","Pitampura, New Delhi, India",9.9,38.5,,,,,,,206.0,28.78,4.1,3.7,Cash,,,28.690109,77.1343765
2024-05-05,21:22:39,"""CNR3908312""",Completed,"""CID8787746""",Bike,"Okhla, New Delhi, India","Netaji Subhash Place, New Delhi, India",8.1,37.3,,,,,,,633.0,17.34,4.5,4.9,Credit Card,,,,
2024-11-08,17:01:10,"""CNR9416323""",Completed,"""CID1025742""",Auto,"DLF City Court, New Delhi, India","Udyog Vihar Phase 4, New Delhi, India",6.1,28.2,,,,,,,717.0,9.38,4.2,4.5,UPI,,,,
2024-12-26,21:21:55,"""CNR2912296""",Completed,"""CID8094609""",Go Sedan,"Rajiv Nagar, New Delhi, India","Ramesh Nagar, New Delhi, India",6.0,26.7,,,,,,,151.0,11.9,4.9,4.5,UPI,,,28.6344838,77.2704664
2024-09-05,07:44:18,"""CNR4611314""",Completed,"""CID6968311""",Premier Sedan,"Sohna Road, New Delhi, India","New Delhi Railway Station, New Delhi, India",5.0,34.7,,,,,,,512.0,35.66,3.7,4.9,UPI,,,,
2024-02-10,09:17:39,"""CNR4487090""",Completed,"""CID1210782""",Premier Sedan,"Lajpat Nagar, New Delhi, India","Chirag Delhi, New Delhi, India",9.6,39.1,,,,,,,1390.0,21.79,5.0,4.9,UPI,,,28.5874702,77.1693
2024-07-01,17:39:56,"""CNR1487489""",Completed,"""CID3403699""",Bike,"Moolchand, New Delhi, India","Karol Bagh, New Delhi, India",3.9,23.0,,,,,,,224.0,7.86,4.1,4.2,Cash,,,28.6539198,77.191078
2024-10-19,16:24:50,"""CNR6351034""",Completed,"""CID2038230""",Auto,"Uttam Nagar, New Delhi, India","Vaishali, New Delhi, India",8.4,31.3,,,,,,,708.0,18.04,4.6,4.8,UPI,,,,
2024-02-09,10:51:01,"""CNR7600870""",Completed,"""CID7289498""",Auto,"INA Market, New Delhi, India","IFFCO Chowk, New Delhi, India",7.7,43.7,,,,,,,153.0,15.18,4.2,3.6,Uber Wallet,,,,
2024-12-11,17:05:36,"""CNR8509610""",Completed,"""CID8227993""",Bike,"IIT Delhi, New Delhi, India","Mansarovar Park, New Delhi, India",5.0,35.0,,,,,,,72.0,13.38,4.7,4.2,Cash,,,,
2024-07-10,02:23:12,"""CNR3126177""",Completed,"""CID1851430""",Premier Sedan,"Munirka, New Delhi, India","Saidulajab, New Delhi, India",10.9,43.6,,,,,,,696.0,30.9,4.7,3.7,UPI,,,28.5204237,77.2022859
2024-09-30,12:34:51,"""CNR7449144""",Completed,"""CID8609350""",Auto,"IGNOU Road, New Delhi, India","Tis Hazari, New Delhi, India",8.6,32.7,,,,,,,2169.0,44.25,4.4,4.3,Uber Wallet,,,,
2024-09-20,13:09:16,"""CNR1970319""",Completed,"""CID6085619""",eBike,"Meerut, New Delhi, India","Udyog Bhawan, New Delhi, India",9.5,24.6,,,,,,,136.0,45.46,3.2,3.8,Uber Wallet,28.6314054,77.3302404,28.612527,77.2122895
2024-04-30,20:25:28,"""CNR4415815""",Completed,"""CID8351180""",Go Mini,"Punjabi Bagh, New Delhi, India","Saket A Block, New Delhi, India",4.6,38.9,,,,,,,214.0,2.91,4.1,4.7,UPI,,,,
2024-06-04,20:38:07,"""CNR3899082""",Completed,"""CID5467225""",Go Mini,"Akshardham, New Delhi, India","Mayur Vihar, New Delhi, India",10.3,16.4,,,,,,,835.0,37.57,4.2,4.8,UPI,28.5838692,77.0437467,,
2024-08-11,18:21:32,"""CNR3263958""",Completed,"""CID3231090""",Go Sedan,"IMT Manesar, New Delhi, India","Ashram, New Delhi, India",2.6,36.2,,,,,,,705.0,40.18,3.9,4.8,UPI,,,28.6392436,77.2085787
2024-10-08,08:52:57,"""CNR9652983""",Completed,"""CID4773175""",Go Sedan,"Azadpur, New Delhi, India","Khan Market, New Delhi, India",2.1,35.5,,,,,,,480.0,20.22,4.3,4.8,Debit Card,,,,
2024-06-24,18:04:39,"""CNR3274827""",Completed,"""CID3134967""",Go Mini,"Cyber Hub, New Delhi, India","Old Gurgaon, New Delhi, India",7.5,41.7,,,,,,,707.0,44.76,4.8,4.4,UPI,,,28.5337309,77.089943
2024-09-27,20:16:53,"""CNR8036415""",Completed,"""CID9244184""",eBike,"Sikanderpur, New Delhi, India","Greater Noida, New Delhi, India",10.0,38.0,,,,,,,865.0,43.34,3.2,3.8,Cash,,,,
2024-04-26,15:45:51,"""CNR8433849""",Completed,"""CID7659765""",Bike,"Mayur Vihar, New Delhi, India","IGNOU Road, New Delhi, India",10.8,40.0,,,,,,,768.0,5.97,4.3,4.8,Cash,,,,
2024-05-19,18:47:16,"""CNR2948784""",Completed,"""CID7747807""",Bike,"Rohini West, New Delhi, India","Yamuna Bank, New Delhi, India",7.0,37.0,,,,,,,626.0,27.96,3.9,4.3,Uber Wallet,,,,
2024-06-05,11:16:12,"""CNR1996806""",Completed,"""CID2293483""",Go Mini,"Mandi House, New Delhi, India","Bahadurgarh, New Delhi, India",9.2,40.4,,,,,,,443.0,21.19,4.2,5.0,UPI,,,,
2024-04-19,14:14:27,"""CNR5222120""",Completed,"""CID2370613""",Go Sedan,"Aya Nagar, New Delhi, India","Chandni Chowk, New Delhi, India",9.9,28.7,,,,,,,226.0,47.63,3.6,4.1,UPI,28.471209,77.1289138,,
2024-03-31,16:34:57,"""CNR6596872""",Completed,"""CID2589193""",Auto,"Shastri Nagar, New Delhi, India","Saket A Block, New Delhi, India",12.8,30.6,,,,,,,449.0,24.4,3.3,4.1,UPI,28.6442794,77.2718858,,
2024-03-26,19:13:05,"""CNR7149058""",Completed,"""CID7341591""",Go Mini,"Vinobapuri, New Delhi, India","Shastri Park, New Delhi, India",5.9,21.1,,,,,,,778.0,7.49,4.3,4.9,UPI,,,28.6442794,77.2718858
2024-06-10,15:24:51,"""CNR5726463""",Completed,"""CID3407189""",Bike,"Rohini West, New Delhi, India","Yamuna Bank, New Delhi, India",14.7,18.8,,,,,,,361.0,24.44,4.3,4.8,UPI,,,,
2024-08-16,17:05:19,"""CNR3975551""",Completed,"""CID2944423""",Auto,"Kashmere Gate ISBT, New Delhi, India","New Colony, New Delhi, India",3.5,30.4,,,,,,,235.0,9.2,4.3,3.9,UPI,,,28.5673145,77.2101813
2024-02-04,15:32:16,"""CNR8637930""",Completed,"""CID8137475""",Go Sedan,"Rohini, New Delhi, India","Botanical Garden, New Delhi, India",8.6,15.9,,,,,,,186.0,28.09,4.2,4.4,Cash,,,,
2024-05-26,22:36:05,"""CNR7036055""",Completed,"""CID7359512""",Bike,"Faridabad Sector 15, New Delhi, India","Vinobapuri, New Delhi, India",7.7,25.0,,,,,,,86.0,40.1,3.6,4.4,Cash,,,,
2024-12-26,16:16:56,"""CNR8504461""",Completed,"""CID3984123""",Premier Sedan,"Malviya Nagar, New Delhi, India","Chanakyapuri, New Delhi, India",8.3,43.7,,,,,,,234.0,42.5,3.7,4.9,Cash,,,28.5946775,77.1885212
2024-11-30,18:36:50,"""CNR8819329""",Completed,"""CID6695773""",Go Sedan,"Vaishali, New Delhi, India","Tilak Nagar, New Delhi, India",6.0,44.4,,,,,,,758.0,41.42,4.9,3.6,Cash,,,,
2024-04-16,19:41:40,"""CNR2472864""",Completed,"""CID7156852""",Auto,"Maidan Garhi, New Delhi, India","Panchsheel Park, New Delhi, India",12.5,26.3,,,,,,,273.0,31.69,4.4,4.8,UPI,,,,
2024-09-12,05:52:14,"""CNR3239651""",Completed,"""CID9573465""",Auto,"Yamuna Bank, New Delhi, India","Nirman Vihar, New Delhi, India",11.1,19.6,,,,,,,117.0,33.74,4.5,3.7,Debit Card,,,,
2024-06-07,18:08:10,"""CNR2646387""",Completed,"""CID8652330""",Go Sedan,"Khan Market, New Delhi, India","Central Secretariat, New Delhi, India",13.3,15.8,,,,,,,955.0,36.82,3.7,3.7,UPI,,,28.6158726,77.2123897
2024-06-01,15:55:36,"""CNR4724814""",Completed,"""CID1251463""",Go Sedan,"Pragati Maidan, New Delhi, India","Jama Masjid, New Delhi, India",9.7,31.5,,,,,,,139.0,38.75,4.4,4.3,UPI,,,28.595544,77.1213161
2024-05-05,14:17:24,"""CNR2200152""",Completed,"""CID6635464""",Go Mini,"Mansarovar Park, New Delhi, India","Rohini, New Delhi, India",13.3,30.7,,,,,,,255.0,17.07,4.3,4.4,Cash,,,28.7194361,77.0672351
2024-01-15,17:05:26,"""CNR5060137""",Completed,"""CID2961093""",Auto,"Rithala, New Delhi, India","Aya Nagar, New Delhi, India",9.5,18.0,,,,,,,1212.0,19.18,4.3,4.3,UPI,,,,
2024-07-08,17:50:10,"""CNR9291876""",Completed,"""CID9026677""",Go Sedan,"Shastri Park, New Delhi, India","Indraprastha, New Delhi, India",10.0,23.6,,,,,,,81.0,23.93,4.7,3.9,Debit Card,,,28.6009714,77.2536432
2024-08-14,17:41:00,"""CNR4212658""",Completed,"""CID5774800""",Auto,"Cyber Hub, New Delhi, India","Udyog Bhawan, New Delhi, India",3.6,24.2,,,,,,,940.0,29.09,4.2,4.6,UPI,,,28.612527,77.2122895
2024-05-08,16:37:21,"""CNR4415643""",Completed,"""CID4718297""",eBike,"Saidulajab, New Delhi, India","Hauz Khas, New Delhi, India",10.0,17.9,,,,,,,98.0,27.55,4.2,4.1,Cash,,,28.5575846,77.1878212
2024-07-29,12:28:32,"""CNR4092218""",Completed,"""CID5726360""",Premier Sedan,"Tughlakabad, New Delhi, India","Meerut, New Delhi, India",5.9,15.5,,,,,,,724.0,14.0,4.1,4.2,Cash,,,28.6314054,77.3302404
2024-08-09,16:41:35,"""CNR8034979""",Completed,"""CID1915443""",eBike,"Kashmere Gate, New Delhi, India","Karkarduma, New Delhi, India",8.0,25.3,,,,,,,749.0,47.3,4.4,4.3,UPI,,,,
2024-10-02,09:10:13,"""CNR1435581""",Completed,"""CID1856576""",Auto,"Shastri Park, New Delhi, India","Barakhamba Road, New Delhi, India",11.5,37.4,,,,,,,244.0,14.59,4.1,4.8,UPI,,,28.6274707,77.2290488
2024-05-26,20:45:58,"""CNR6987620""",Completed,"""CID3121337""",Auto,"Tilak Nagar, New Delhi, India","Azadpur, New Delhi, India",5.4,28.9,,,,,,,585.0,34.14,4.6,4.1,Debit Card,,,,
2024-12-24,10:30:20,"""CNR4132145""",Completed,"""CID5140786""",Auto,"DLF Phase 3, New Delhi, India","Udyog Vihar Phase 4, New Delhi, India",6.4,44.7,,,,,,,554.0,31.79,4.3,4.6,Cash,,,,
2024-06-07,17:11:59,"""CNR8207805""",Completed,"""CID6685791""",Bike,"Laxmi Nagar, New Delhi, India","Sohna Road, New Delhi, India",10.8,28.5,,,,,,,803.0,25.01,4.1,4.5,Credit Card,,,,
2024-04-28,19:59:01,"""CNR1438443""",Completed,"""CID5468663""",Go Mini,"Huda City Centre, New Delhi, India","Akshardham, New Delhi, India",9.4,24.8,,,,,,,388.0,17.56,4.2,4.7,UPI,,,28.5838692,77.0437467
2024-01-18,23:04:30,"""CNR1361929""",Completed,"""CID9052724""",Go Mini,"Uttam Nagar, New Delhi, India","Greater Kailash, New Delhi, India",11.2,38.5,,,,,,,192.0,48.96,3.1,4.6,UPI,28.6088003,77.0673956,,
2024-04-15,19:03:28,"""CNR2687237""",Completed,"""CID4887972""",Go Mini,"Mehrauli, New Delhi, India","Nawada, New Delhi, India",9.0,39.1,,,,,,,79.0,32.91,4.4,3.8,Uber Wallet,,,,
2024-01-22,18:23:40,"""CNR4269906""",Completed,"""CID9683944""",Bike,"Lajpat Nagar, New Delhi, India","Okhla, New Delhi, India",2.4,26.6,,,,,,,242.0,45.7,4.0,4.9,UPI,,,28.6250585,77.2172811
2024-05-21,20:31:57,"""CNR1401386""",Completed,"""CID2154950""",Go Mini,"Botanical Garden, New Delhi, India","Azadpur, New Delhi, India",5.4,32.6,,,,,,,323.0,38.32,4.4,3.7,Uber Wallet,,,,
2024-06-02,21:27:23,"""CNR7409512""",Completed,"""CID5474366""",Auto,"Karol Bagh, New Delhi, India","Palam Vihar, New Delhi, India",5.4,24.4,,,,,,,799.0,9.1,4.2,4.6,UPI,28.6539198,77.191078,28.570786,77.1634244
2024-11-20,16:42:58,"""CNR1980045""",Completed,"""CID9418411""",Premier Sedan,"Ramesh Nagar, New Delhi, India","Greater Kailash, New Delhi, India",2.9,39.3,,,,,,,134.0,49.26,4.1,4.9,UPI,,,,
2024-11-13,06:51:43,"""CNR9749627""",Completed,"""CID3065827""",Go Sedan,"Nirman Vihar, New Delhi, India","Satguru Ram Singh Marg, New Delhi, India",13.7,40.7,,,,,,,113.0,8.21,4.3,5.0,UPI,,,28.6188228,77.1131431
2024-05-16,12:35:33,"""CNR6236514""",Completed,"""CID3761463""",Auto,"Tughlakabad, New Delhi, India","Ramesh Nagar, New Delhi, India",12.1,32.5,,,,,,,81.0,11.94,4.0,4.5,UPI,,,,
2024-02-15,19:11:02,"""CNR9048385""",Completed,"""CID5242973""",Go Sedan,"India Gate, New Delhi, India","Kashmere Gate, New Delhi, India",4.5,43.1,,,,,,,992.0,8.23,5.0,4.6,UPI,,,,
2024-08-01,06:16:08,"""CNR1903168""",Completed,"""CID1051794""",Premier Sedan,"Maidan Garhi, New Delhi, India","Samaypur Badli, New Delhi, India",3.6,26.5,,,,,,,513.0,49.5,4.3,4.9,UPI,,,,
2024-05-02,19:16:35,"""CNR2922907""",Completed,"""CID4507250""",Premier Sedan,"Barakhamba Road, New Delhi, India","Noida Film City, New Delhi, India",5.8,38.9,,,,,,,635.0,37.37,4.3,4.6,UPI,28.6274707,77.2290488,,
2024-08-27,06:04:30,"""CNR7621341""",Completed,"""CID1429306""",Uber XL,"Kashmere Gate, New Delhi, India","Jor Bagh, New Delhi, India",6.9,17.0,,,,,,,242.0,35.38,4.4,4.9,UPI,,,28.5865094,77.2125273
2024-10-20,12:47:05,"""CNR5803828""",Completed,"""CID1039074""",Bike,"Barakhamba Road, New Delhi, India","DLF City Court, New Delhi, India",12.5,20.6,,,,,,,1114.0,34.81,4.1,4.2,Uber Wallet,,,,
2024-06-25,23:08:22,"""CNR4868713""",Completed,"""CID2089650""",Bike,"Gurgaon Sector 56, New Delhi, India","Cyber Hub, New Delhi, India",9.0,37.7,,,,,,,372.0,20.92,3.8,4.6,UPI,,,,
2024-07-10,16:51:38,"""CNR3841045""",Completed,"""CID1210899""",Go Mini,"Ashram, New Delhi, India","Yamuna Bank, New Delhi, India",3.5,40.2,,,,,,,387.0,23.39,4.3,4.7,Uber Wallet,,,,
2024-06-10,07:38:34,"""CNR5265040""",Completed,"""CID3076700""",Go Sedan,"Gurgaon Sector 29, New Delhi, India","Mansarovar Park, New Delhi, India",7.1,31.6,,,,,,,767.0,30.82,4.6,4.9,UPI,,,,
2024-07-11,14:42:27,"""CNR8112878""",Completed,"""CID4809063""",Auto,"Shahdara, New Delhi, India","Paharganj, New Delhi, India",7.1,24.4,,,,,,,447.0,21.31,4.5,4.1,UPI,,,28.6337722,77.216499
2024-06-20,07:14:32,"""CNR4617937""",Completed,"""CID7348314""",Premier Sedan,"Sultanpur, New Delhi, India","Delhi Gate, New Delhi, India",6.7,33.5,,,,,,,500.0,20.41,4.3,4.7,Credit Card,,,,
2024-03-05,12:21:00,"""CNR7340396""",Completed,"""CID7334750""",Go Mini,"Gurgaon Sector 29, New Delhi, India","Dilshad Garden, New Delhi, India",3.7,38.9,,,,,,,446.0,25.94,4.9,4.3,Debit Card,,,28.6816931,77.3281381
2024-05-17,01:08:21,"""CNR7554746""",Completed,"""CID3234126""",eBike,"Huda City Centre, New Delhi, India","Aya Nagar, New Delhi, India",2.6,32.9,,,,,,,125.0,39.16,4.1,4.9,UPI,,,,
2024-05-13,21:08:35,"""CNR9430550""",Completed,"""CID3901448""",Go Sedan,"Dilshad Garden, New Delhi, India","Subhash Nagar, New Delhi, India",11.4,17.2,,,,,,,419.0,23.79,4.3,4.7,Uber Wallet,,,,
2024-06-19,22:02:03,"""CNR4112922""",Completed,"""CID8248967""",Go Sedan,"Basai Dhankot, New Delhi, India","Qutub Minar, New Delhi, India",4.7,17.7,,,,,,,477.0,41.93,4.6,4.9,Cash,,,,
2024-04-26,21:03:12,"""CNR4722464""",Completed,"""CID7557487""",Auto,"Anand Vihar, New Delhi, India","IMT Manesar, New Delhi, India",11.3,33.0,,,,,,,352.0,6.71,4.2,4.7,UPI,,,,
2024-12-04,14:09:18,"""CNR4720063""",Completed,"""CID1461597""",Go Sedan,"Munirka, New Delhi, India","Sushant Lok, New Delhi, India",7.4,39.0,,,,,,,117.0,15.63,4.6,4.5,UPI,,,,
2024-12-12,12:01:07,"""CNR5314934""",Completed,"""CID1026547""",Go Sedan,"Tis Hazari, New Delhi, India","Arjangarh, New Delhi, India",9.3,28.5,,,,,,,51.0,29.8,4.6,3.9,UPI,,,,
2024-03-02,22:28:52,"""CNR5517193""",Completed,"""CID9143442""",Uber XL,"Malviya Nagar, New Delhi, India","Sohna Road, New Delhi, India",6.0,26.6,,,,,,,81.0,5.59,4.9,4.2,Cash,,,,
2024-08-29,21:01:54,"""CNR3455701""",Completed,"""CID9643714""",Bike,"Munirka, New Delhi, India","Tis Hazari, New Delhi, India",13.5,41.8,,,,,,,51.0,4.44,4.4,4.7,Uber Wallet,,,,
2024-03-25,18:40:11,"""CNR5149854""",Completed,"""CID9975388""",Go Sedan,"Akshardham, New Delhi, India","IGNOU Road, New Delhi, India",4.9,33.0,,,,,,,469.0,26.93,4.3,4.9,UPI,,,,
